GLon,GLat,SpType,Tc,Lc,B-V,VMag,Lum,Cst,Name
deg,deg, , , ,mag,mag,Lsun, ,
------------,------------,--------------------------,---,-,------,-----,---------,---,------------------------------------------------
244.8552993,-53.51393412,K1III                     ,61,3,1.023,0.32,91.92,Eri,y Eridani
263.3333178,3.18184217,G8/K1 III + A             ,58,3,0.646,0.4,63.86,Vel,w Velorum
252.1316731,2.09689634,K2+ IIIa                  ,62,3,1.419,-2.6,2230.11,Pup,w Puppis
301.4311393,14.03293838,K1III                     ,61,3,1.075,0.83,60.94,Cen,w Centauri (HR 4831)
287.8432087,-1.49750435,K4III                     ,64,3,1.7,-3.63,         ,Car,w Carinae
288.1818463,0.59894623,K0IV                      ,60,4,0.945,1.46,30.02,Car,u Carinae
286.6526607,-0.5710671,K4.5Ib-II                 ,64,1,1.562,-3.66,8619.49,Car,t2 Carinae (HR 4177)
286.5727125,-1.05377251,K1III                     ,61,3,1.172,0.55,87.44,Car,t1 Carinae (HR 4164)
279.79609,9.55236622,K1/2III                   ,61,3,1.045,-2.9,1830.41,Vel,t Velorum
275.2470608,13.06873627,K1III                     ,61,3,1.095,0.84,61.41,Vel,r Velorum
309.2630985,31.05265012,K0 III                    ,60,3,0.959,0.61,65.98,Cen,r Centauri (HR 5006)
285.4919843,0.63988415,K3II-IIb                  ,63,2,1.604,-3.77,         ,Car,r Carinae
285.4815526,-3.8050972,K2.5II                    ,62,2,1.541,-3.13,4955.57,Car,q Carinae
281.0634686,8.8684833,"A0. :V      COMP,SB       ",30,5,0.3,1.7,17.37,Vel,p Velorum
289.5964735,-59.66242633,K0V                       ,60,5,0.88,6.21,0.36,Eri,p Eridani
263.3495849,7.18878859,K1 III                    ,61,3,1.084,0.73,67.33,Vel,l Velorum
300.5293379,22.83056608,B8IIIMn (metallic lines)  ,28,3,-0.082,-0.61,248.99,Cen,l Centauri (HR 4817)
262.5505972,7.75926487,K0/1 III + A3/7           ,60,3,0.827,-0.6,181.05,Vel,k1 Velorum (HR 3677)
257.3483248,-3.20931142,K1II/III                  ,61,2,1.17,-0.38,206.61,Pup,h2 Puppis (HR 3243)
256.4545881,-3.23984375,K4.5Ib                    ,64,1,1.59,-4.06,14119.98,Pup,h1 Puppis
336.7140787,13.97363412,G8/K0 III                 ,58,3,0.987,0.72,61.57,Lup,h Lupi (HR 5837)
239.7644864,-52.68846351,K1.5IIIb CN0.5            ,61,3,1.191,0.83,69.23,Eri,h Eridani
