HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V(culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius
85224,6.0023108,9.39361558,,Ophiuchus,F,main-sequence,0.511,3.35,4.16,8.48,6352.6,1.728
85632,7.55541139,8.9388444,,Ophiuchus,G,main-sequence,0.564,3.41,3.87,7.68,6224.6,1.652
85195,6.32069448,9.66914851,HR 6473,Ophiuchus,B,main-sequence,0.046,-0.63,161.74,6.34,10495,3.947
85253,7.27853483,10.09561384,,Ophiuchus,K,main-sequence,0.825,6,0.41,9.74,5195,0.761
86208,7.44620998,6.89546279,,Ophiuchus,K,giants,1.079,1.66,28.28,7.45,4744,6.923
85918,7.55172085,7.95970774,,Ophiuchus,F,main-sequence,0.511,1.67,18.47,7.75,6651.4,3.649
85997,7.79417925,7.80014285,,Ophiuchus,F,sub-giants,0.405,0.57,49.43,7.11,6624,5.824
85952,8.0505432,8.11958206,,Ophiuchus,F,main-sequence,0.418,2.13,11.83,7.91,6628,2.505
86142,8.31127565,7.65264313,,Ophiuchus,G,main-sequence,0.563,1.69,18.68,7.47,6054,4.37
86124,8.77126571,7.97544593,,Ophiuchus,F,main-sequence,0.47,4.4,1.48,9.42,6582,2.655
86822,9.9561516,6.35381075,,Sagittarius,A,giants,0.369,2.45,8.72,8.18,7312,1.927
86814,10.18511423,6.52086536,,Sagittarius,F,main-sequence,0.536,3.62,3.22,7.49,6275.4,1.636
85875,8.21458616,8.50183205,,Ophiuchus,K,giants,1.022,0.63,69.12,6.81,4882,7.919
86263,10.60603184,8.66479083,55 Xi Serpentis (HR 6561),Serpens,A,giants,0.262,1,33.1,3.54,6950,3.787
82758,358.0306703,12.449412,,Ophiuchus,G,giants,0.944,0.53,70.73,6.76,5484,7.923
82576,357.9126094,12.93857768,,Ophiuchus,F,main-sequence,0.606,5.21,0.75,10.26,5899,0.961
82376,357.3864419,13.37101861,,Ophiuchus,G,giants,1.217,2.52,14.9,8.63,4732,11.047
82524,358.1201073,13.32865822,,Ophiuchus,F,main-sequence,0.384,3.06,5.16,8.28,6914.2,1.528
82986,359.1178278,12.48422772,,Ophiuchus,G,main-sequence,0.566,4.24,1.78,9.77,8472,1.095
83179,359.8781885,12.31328104,,Ophiuchus,G,main-sequence,0.731,5.14,0.86,9.82,5557,0.924
83005,359.8595873,12.96655532,,Ophiuchus,F,giants,0.608,2.24,11.53,8.22,5622,3.921
83224,0.51385917,12.62928191,,Ophiuchus,K,giants,1.096,2.25,16.83,7.35,4718,7.82
82319,357.8705573,13.96620325,,Ophiuchus,F,main-sequence,0.427,3.88,2.36,8.89,7658,1.548
82319,357.8705573,13.96620325,,Ophiuchus,F,main-sequence,0.427,3.88,2.36,10.949,6120,0.852
82116,357.5397723,14.5115139,,Ophiuchus,F,main-sequence,0.573,3.24,4.52,8.35,6309,3.042
82439,358.5270679,13.96874465,,Ophiuchus,F,main-sequence,0.636,4.56,1.38,9.45,5782,1.51
81941,357.3005475,14.97326825,,Ophiuchus,B,main-sequence,0.127,1.42,22.74,7.57,8920,3.509
82244,359.1667205,15.22791566,,Ophiuchus,G,main-sequence,0.549,4,2.22,8.69,6170,1.366
82621,0.36783348,14.57923262,Gliese 641.1 (HR 6269),Ophiuchus,G,sub-giants,0.685,3.71,3.11,5.86,5619.3,1.88
83070,0.78692081,13.40962743,,Ophiuchus,F,main-sequence,0.433,3.76,2.66,8.81,6642,1.292
83873,2.66817508,11.82414071,,Ophiuchus,A,sub-giants,0.177,1.76,16.44,7.79,8519,2.101
83761,3.06717402,12.5078946,,Ophiuchus,G,main-sequence,0.716,4.8,1.17,8.99,5597,1.253
83331,2.85097036,13.87932932,29 Ophiuchi (HR 6321),Ophiuchus,K,giants,1.351,0.05,174.8,6.28,4389,23.587
83539,3.84425697,13.80889275,,Ophiuchus,F,main-sequence,0.561,2.94,5.79,8.13,6786,2.129
83163,3.08502533,14.65802116,,Ophiuchus,G,main-sequence,0.569,3.01,5.72,6.63,6035.2,1.973
83572,4.04746591,13.84368318,,Ophiuchus,A,sub-giants,0.367,1.94,14,7.82,6712,3.119
83544,4.39635988,14.17191237,,Ophiuchus,K,giants,1.061,2.02,20.12,7.17,5440,6.493
81844,358.0695231,15.93691166,,Ophiuchus,F,main-sequence,0.609,3.54,3.65,8.77,5998.2,1.812
81632,358.4628695,16.96639118,HR 6190,Ophiuchus,K,giants,1.077,0.57,77.51,6.25,4772,10.255
81796,358.9418497,16.78028345,,Ophiuchus,F,main-sequence,0.509,3.06,5.14,8.46,6764,1.572
81754,359.0608789,17.02382615,HR 6202,Ophiuchus,F,main-sequence,0.436,2.43,8.99,5.55,6502,1.676
82149,359.6742087,15.97640037,,Ophiuchus,G,giants,1.115,1.45,35.66,7.71,4425,9.953
82218,359.9870374,15.95903445,,Ophiuchus,F,main-sequence,0.485,3.44,3.6,9.05,6615,1.384
82465,1.05790142,15.73960826,,Ophiuchus,K,giants,1.303,1.39,47.36,7.98,4306,11.505
82265,0.58550184,16.17538786,,Ophiuchus,G,sub-giants,0.772,5.15,0.87,8.08,5444,1.001
81237,359.1048098,18.98483729,,Ophiuchus,G,sub-giants,0.749,5.74,0.49,8.74,5589.9,0.735
81758,359.8847001,17.61991215,,Ophiuchus,G,main-sequence,0.679,4.48,1.52,9.52,5783,1.098
81486,359.4581155,18.31823392,,Ophiuchus,K,giants,1.455,0.73,111.91,6.97,4303,22.993
81474,359.9435287,18.71197472,,Ophiuchus,B,sub-giants,0.248,1.09,30.35,6.73,10890,4.064
81695,0.51427275,18.28065931,,Ophiuchus,A,giants,0.171,1.57,19.65,6.68,8263,2.023
81724,0.81883312,18.42543565,24 Scorpii (HR 6196),Ophiuchus,G,giants,1.095,-0.6,230.65,4.91,4651,21.775
82547,1.08854992,15.4159022,,Ophiuchus,F,main-sequence,0.466,3.39,4.07,8.21,6425.7,1.528
82665,2.47600457,15.93133504,,Ophiuchus,K,giants,1.337,1.2,59.03,7.68,4222,16.296
82364,1.62565647,16.5564574,,Ophiuchus,F,sub-giants,0.795,3.71,3.35,9.07,5287,2.852
82861,3.76490592,16.21707167,HR 6284,Ophiuchus,K,giants,0.952,3.21,6.01,6.33,4982,3.164
82120,1.70106973,17.56857189,,Ophiuchus,G,main-sequence,0.685,5.39,0.66,8.2,5795.9,0.769
82331,2.8127583,17.52452905,,Ophiuchus,K,giants,1.36,2.28,22.83,8.43,4056,11.155
81723,1.49503721,18.91915617,,Ophiuchus,F,main-sequence,0.5,3.31,4.28,8.23,6443,1.827
82260,3.04806087,17.95850845,,Ophiuchus,G,sub-giants,0.767,4.8,1.11,7.62,5762,1.091
82442,3.23380386,17.35881222,,Ophiuchus,B,main-sequence,0.248,0.18,69.98,7.04,8928,6.644
82811,4.32997141,16.77732265,,Ophiuchus,K,main-sequence,0.9,5.87,0.5,10,5100,0.854
82233,3.2947949,18.26402398,,Ophiuchus,G,main-sequence,0.566,4.31,1.74,7.43,6092,1.172
82339,3.76027448,18.16170701,HR 6240,Ophiuchus,A,main-sequence,0.234,1.84,15.21,6.18,7638,2.092
82283,3.59640437,18.25502411,Gliese 3973,Ophiuchus,M,main-sequence,1.468,9.59,0.03,10.888,3653,0.543
82384,4.05541462,18.187481,,Ophiuchus,G,main-sequence,0.599,4.78,1.1,8.82,5982,1.027
82525,4.88705435,18.15838379,,Ophiuchus,F,main-sequence,0.471,3.17,4.82,7.73,6460.3,1.705
84256,4.57228862,11.71977432,,Ophiuchus,G,main-sequence,0.618,4.2,1.9,9.41,6197,1.3
83920,4.97136421,13.22909528,,Ophiuchus,A,main-sequence,0.108,2.6,7.78,8.33,8747,2.023
83854,4.82300547,13.36918587,HR 6365,Ophiuchus,K,giants,1.011,0.69,65.1,5.98,4919,12.492
84149,5.6835343,12.78377599,,Ophiuchus,A,main-sequence,0.053,1.67,19.31,7.56,9031,1.637
83917,5.52918229,13.61576833,,Ophiuchus,F,main-sequence,0.311,2.69,7.04,7.71,7515,1.908
84459,7.08891398,12.62336844,,Ophiuchus,F,main-sequence,0.48,2.55,8.23,7.7,6599,1.967
84675,7.59033533,12.18123493,,Serpens,A,giants,0.201,1.48,21.18,7.61,8132,2.272
84647,7.74053856,12.37905779,,Serpens,G,giants,1.022,0.73,63.33,7.23,4840,10.123
84269,7.30782128,13.45214727,,Ophiuchus,A,main-sequence,0.168,1.57,19.66,6.7,8126,2.342
84190,7.50672199,13.87817501,,Ophiuchus,B,main-sequence,0.135,2.09,12.27,7.94,9025,2.179
84402,8.38198832,13.64184508,HR 6404,Ophiuchus,K,giants,1.096,1.19,44.74,5.994,4717,11.079
85405,8.87110921,10.55623915,,Serpens,K,super-giants,1.146,0.82,65.88,6.48,4598,15.156
85105,8.24358662,11.17850937,,Serpens,F,sub-giants,0.43,2.15,11.72,6.65,6443,2.92
85562,10.65556652,11.09848611,,Serpens,F,main-sequence,0.594,2.13,12.73,7.91,6282.5,2.83
85871,11.65773822,10.64348985,,Serpens,A,main-sequence,0.121,1.14,29.53,7.264,8113,3.036
85026,9.0527085,11.94029747,Gliese 1217,Serpens,K,main-sequence,1.363,8.76,0.06,10.89,3995,0.632
84712,8.3267045,12.56051491,,Serpens,F,main-sequence,0.553,3.06,5.36,7.81,6292.7,1.863
85208,10.75603733,12.4244796,,Serpens,A,main-sequence,0.34,2.54,7.98,8.38,7219,2.228
85354,11.11278739,12.12763682,,Serpens,K,main-sequence,0.972,6.58,0.28,10.33,4626,0.804
85397,11.74277195,12.35707045,HR 6496,Serpens,F,main-sequence,0.517,3.01,5.57,6.216,6308.7,1.905
83443,5.01679568,14.94883451,,Ophiuchus,F,main-sequence,0.533,4.87,0.98,9.25,6453,1.016
83514,5.43682445,15.00008738,,Ophiuchus,G,main-sequence,0.826,3.39,4.59,8.52,5053,2.98
83107,5.03425101,16.21970816,,Ophiuchus,G,main-sequence,0.614,4.28,1.82,8.21,5908.6,1.247
84058,7.25569635,14.14525647,,Ophiuchus,A,main-sequence,0.434,3.29,4.09,9.14,6621,1.667
84132,7.88972696,14.30078166,,Ophiuchus,G,giants,0.699,2.71,7.87,7.267,5740,2.82
83997,8.30103709,15.07489764,,Ophiuchus,G,main-sequence,0.585,4.02,2.2,9.07,5908,1.349
83777,8.00523066,15.71863987,,Ophiuchus,F,main-sequence,0.509,4.09,2,9.32,10099,1.216
83927,8.27198678,15.32989019,,Ophiuchus,F,main-sequence,0.568,4.32,1.65,9.78,6440,1.556
83090,5.79906417,16.81515253,HR 6302,Ophiuchus,F,sub-giants,0.391,2.91,5.76,6.477,6893,1.605
83136,6.01042443,16.76084328,,Ophiuchus,F,main-sequence,0.538,4.08,2.05,9,6849,1.568
82722,5.43519569,17.80644355,,Ophiuchus,K,main-sequence,1.027,6.65,0.27,9.66,4822,0.73
82701,5.60207235,17.9824241,,Ophiuchus,G,main-sequence,0.635,3.72,2.99,8.93,5789,1.684
83045,6.14790969,17.20575877,,Ophiuchus,K,giants,1.559,1.41,78.08,7.172,3970,20.923
83276,7.27786709,17.06098544,Gliese 650,Ophiuchus,G,main-sequence,0.608,4.94,1,7.142,5882.3,1.347
83335,7.54468243,17.03159097,,Ophiuchus,A,main-sequence,0.51,4.06,2.13,9.38,7023,1.152
83545,8.52162498,16.89223071,,Ophiuchus,K,giants,1.2,1.26,47.33,6.915,4494,10.495
83400,8.37679438,17.32080247,,Ophiuchus,F,main-sequence,0.513,4.19,1.83,9.1,7380,1.272
84544,9.88994065,14.11048257,,Ophiuchus,G,giants,0.933,0.78,55.56,7.62,5463,8.913
84895,10.44389169,13.29787046,,Serpens,A,main-sequence,0.297,2.91,6.07,7.67,7045,1.518
84880,10.62689623,13.46236717,53 Nu Serpentis (HR 6446),Serpens,A,main-sequence,0.037,0.35,67.05,4.336,9120,3.102
84913,11.36317353,13.80860193,,Serpens,F,main-sequence,0.472,3.81,2.79,7.68,6207.1,1.379
84928,11.4819984,13.83186503,,Serpens,K,giants,1.167,2.24,18.26,8.05,4495,10.606
84618,10.69108253,14.35910658,,Serpens,F,main-sequence,0.503,2.43,9.24,8.36,6853,2.055
84729,11.15202895,14.26683336,,Serpens,A,main-sequence,0.183,1.65,18.2,8.18,10551,1.982
84487,10.60110748,14.746213,Gliese 3996,Ophiuchus,M,main-sequence,1.429,8.3,0.1,10.47,4020,0.682
84034,9.3744821,15.61168374,,Ophiuchus,F,main-sequence,0.176,1.86,15.05,6.723,8177,1.786
83795,8.88953561,16.24331223,,Ophiuchus,F,main-sequence,0.671,3.42,4.04,8.86,6423,2.042
84161,10.5473459,15.87484404,,Ophiuchus,G,main-sequence,0.534,4.74,1.11,9.77,5844,0.993
83699,9.01706276,16.65847603,,Ophiuchus,F,sub-giants,0.455,2.43,9.07,7.93,6635,1.903
83867,9.63387551,16.44882924,,Ophiuchus,F,main-sequence,0.513,3.16,5.17,7.7,6095.9,1.85
84476,11.70197398,15.46758789,,Ophiuchus,K,main-sequence,1.03,6.25,0.4,10.48,4507,0.954
84026,10.95071601,16.62920309,,Ophiuchus,F,main-sequence,0.519,3.57,3.24,8.75,6290,1.543
84182,11.74127683,16.55694614,,Ophiuchus,F,main-sequence,0.491,4.41,1.6,7.57,6190,1.077
84423,12.14333163,15.91201694,,Ophiuchus,F,main-sequence,0.462,2.19,11.3,7.33,6495,2.501
88504,12.17026575,2.13651004,,Sagittarius,B,super-giants,0.247,0.83,38.68,7.51,10135,6.068
88816,12.74610309,1.51444941,HR 6769,Sagittarius,K,giants,1.132,1.09,51.13,5.52,4663,11.073
88019,11.93551081,3.55640947,,Sagittarius,A,main-sequence,0.292,2.52,8.44,7.32,7067,1.847
87894,11.93264774,3.96234221,,Sagittarius,G,main-sequence,0.653,3.37,4.17,8.94,5810,1.686
87351,10.65714121,4.96029484,,Sagittarius,A,main-sequence,0.304,2.05,12.59,8.38,7128,3.18
87813,12.55938199,4.57249344,HR 6681,Serpens,A,sub-giants,0.024,1.59,21.84,5.93,9290,1.948
89422,15.12419674,0.86068384,,Serpens,K,giants,1.172,1.28,44.67,7.09,4726,9.91
89626,15.87922438,0.5910599,,Serpens,B,main-sequence,0.228,1.66,18.04,7.98,8874,3.427
89892,16.66223757,0.1638941,,Serpens,K,main-sequence,1.116,7.5,0.14,10.72,4640,0.588
88558,14.04400942,3.02002658,,Serpens,F,main-sequence,0.661,2.62,8.15,7.9,6057.8,2.748
88706,14.50990513,2.83361145,,Serpens,F,main-sequence,0.446,1.55,20.38,7.93,6584,2.454
88981,15.78944978,2.66822613,HR 6785,Serpens,K,super-giants,1.428,-0.59,356.07,6.363,4168,30.535
86992,11.21101654,6.49276142,,Serpens,F,sub-giants,0.558,4,2.22,8.19,6171,1.158
86683,11.10701326,7.5334787,,Serpens,B,giants,0.066,0.68,47.11,7.01,8767,3.575
86769,13.02814417,8.3466225,HR 6600,Serpens,F,main-sequence,0.384,3.14,4.9,6.367,6696.3,1.558
86938,13.46360333,8.01323417,Gliese 2131 A,Serpens,M,main-sequence,1.44,9.33,0.04,11.942,3873,0.555
87879,14.53734421,5.47641174,,Serpens,A,giants,0.316,2.2,10.88,7.54,7414,1.932
88462,16.10089962,4.51178114,,Serpens,G,sub-giants,1.071,3.56,4.9,9.05,4719,3.531
88962,17.43409716,3.61691341,Gliese 4042,Serpens,M,main-sequence,1.372,8.31,0.09,10.5,3993,0.683
88719,17.59307761,4.48364078,,Serpens,F,sub-giants,0.525,3.87,2.46,9.16,6038,1.632
88608,17.85142289,4.97309613,,Serpens,A,sub-giants,0.271,2.26,10.29,7.36,7273,1.858
87729,15.68853108,6.66848784,,Serpens,A,main-sequence,0.426,4.14,1.86,9.46,6632,1.654
87921,16.44936388,6.41987171,,Serpens,G,main-sequence,0.651,3.67,3.16,8.37,5745,1.69
87402,14.90297611,7.21047946,,Serpens,G,sub-giants,0.901,5.99,0.45,10.36,4919,0.741
87708,16.03916024,6.93988025,,Serpens,F,sub-giants,0.42,2.8,6.39,6.955,6703,1.857
87642,16.19913463,7.25631589,,Serpens,K,sub-giants,1.193,1.03,57.4,6.503,4489,13.684
88502,17.80700235,5.27973369,,Serpens,F,main-sequence,0.576,3.34,4.22,7.63,6065.6,2.052
88335,18.27648807,6.0830302,,Serpens,F,main-sequence,0.549,3.44,3.69,9.07,6057,1.558
90552,18.78691038,-0.93540513,,Scutum,B,super-giants,0.57,-0.88,200.64,8.34,8548,34.825
90798,19.68481504,-1.22935219,,Scutum,B,super-giants,0.398,0.29,64.25,9.48,10568,19.905
90096,19.04024012,0.69065011,HR 6881,Scutum,B,main-sequence,0.006,-0.66,180.46,5.705,10889,4.372
89672,17.68384164,1.41428326,,Serpens,A,sub-giants,0.272,0.36,59.25,7.36,7287,4.194
90004,18.96405202,1.03039356,,Serpens,G,main-sequence,0.713,4.8,1.15,7.95,5571.3,1.082
89583,18.84171708,2.35479464,,Serpens,G,main-sequence,0.705,5.1,0.91,8.9,5480.4,0.953
89524,18.95349289,2.62312441,,Serpens,F,main-sequence,0.634,2.98,5.91,7.73,6327,4.053
90217,20.60287026,1.15993749,,Scutum,K,giants,1.438,2.31,25.16,8.36,4090,11.739
89828,19.29843449,1.7530193,,Serpens,F,sub-giants,0.552,2.45,9.23,7.4,6584,2.318
90083,20.60763764,1.56859017,HR 6878,Scutum,A,sub-giants,0.13,1.32,25.01,6.316,10257,2.185
90979,20.54516606,-1.36058083,Gliese 717 (Wolf 1462),Scutum,K,main-sequence,1.263,7.86,0.12,10.03,4217,0.674
91105,21.30535359,-1.39618582,HR 6970,Scutum,G,super-giants,0.926,0.1,102.98,5.118,5070.4,10.05
91187,21.50819389,-1.59888075,,Scutum,G,main-sequence,0.691,5.44,0.65,8.52,5436.2,0.743
90943,21.32522136,-0.83983463,,Scutum,G,sub-giants,0.735,4.92,1.05,8.96,5437,1.07
90717,20.89574177,-0.36359759,,Scutum,F,main-sequence,0.538,2.13,12.34,7.95,6761,2.088
91726,23.83306693,-2.09805637,Delta Scuti (HR 7020),Scutum,F,super-giants,0.358,0.74,42.21,4.667,6983,4.205
90565,21.26198013,0.31159659,,Scutum,G,main-sequence,0.606,4.44,1.57,8.58,5923.6,1.042
90965,23.25267152,0.08466186,,Scutum,F,main-sequence,0.392,2.79,6.82,8.05,6874.3,1.977
89136,18.30023253,3.55519245,,Serpens,K,giants,1.135,1.94,23.39,7.39,4528,8.096
88963,18.50352752,4.20050397,,Serpens,K,main-sequence,0.793,5.83,0.48,8.83,5360,0.728
88850,18.5930506,4.60334791,,Serpens,A,sub-giants,0.309,2.16,11.3,7.84,7872,2.235
89589,19.68631686,2.78492244,,Serpens,G,main-sequence,0.632,4.05,2.21,8.31,5847.1,1.485
89544,20.1823591,3.23407983,,Serpens,A,sub-giants,0.294,2.12,11.8,7.78,7313,2.241
89623,20.36142829,3.00893938,HR 6843,Serpens,A,main-sequence,0.382,0.69,44.12,6.286,7762,4.445
89792,20.5518264,2.53306893,,Serpens,F,main-sequence,0.589,4.23,1.81,9,6033.5,1.221
89844,20.81537765,2.5069156,Gliese 4052,Serpens,G,main-sequence,0.724,4.06,2.24,6.921,5551,1.679
88924,19.6623119,4.95476074,,Serpens,K,main-sequence,0.905,6.32,0.33,9.94,4964,0.77
88795,19.71568266,5.41927161,,Serpens,B,sub-giants,0.243,2.21,10.81,7.97,7136,2.945
88582,19.07970611,5.74144919,,Serpens,F,main-sequence,0.583,3.52,3.3,8.68,6561.8,1.269
89181,20.63779254,4.664802,,Serpens,A,main-sequence,0.441,1.84,15.41,7.264,7164,2.694
88996,21.10548708,5.52138334,,Serpens,K,main-sequence,0.814,5.7,0.55,9.4,5112,0.92
