HIP,GLon,GLat,Lc,sptype,B-V,VMag,Lum,Cst,Name
2,63.11597008,-75.95800596,main-sequence,K,0.999,5.87,0.54,Cet,
3,112.0900282,-22.92755892,main-sequence,B,-0.019,-1.55,436.65,And,
4,320.7930899,-63.4153079,main-sequence,F,0.37,2.45,9.17,Phe,
7,106.8202104,-41.22316218,main-sequence,K,0.74,5.84,0.49,Peg,
10,321.8051662,-64.34021167,main-sequence,F,0.489,3.79,2.63,Phe,
17,338.7430502,-73.17656908,main-sequence,F,0.425,2.5,8.41,Phe,
18,92.77923123,-63.88504555,main-sequence,K,1.567,7.79,0.23,Psc,
19,112.0002647,-23.47789171,giants,G,0.955,-0.43,173.22,And,
23,104.2711781,-47.6980313,subgiants,F,0.456,2.9,6.3,Peg,
24,47.75973621,-77.87882981,main-sequence,G,0.528,3.96,2.26,Cet,
25,330.5104913,-69.99981981,subgiants,G,0.763,1.74,20.14,Phe,
26,79.40288338,-71.80005551,main-sequence,F,0.535,4.14,1.93,Cet,
27,336.1924489,-72.36913882,main-sequence,G,0.671,4.2,1.96,Phe,
28,332.11794,-70.75537449,main-sequence,F,0.468,2.42,9.19,Phe,
30,112.9094169,-19.73453828,main-sequence,A,0.142,1.39,23.39,And,
33,84.70180038,-69.4520785,main-sequence,F,0.466,2.84,6.48,Cet,
34,109.0931857,-34.57821027,main-sequence,F,0.514,2.07,12.89,Peg,
35,77.13003557,-72.65036464,giants,G,0.916,3.35,5.15,Cet,
38,305.968104,-37.76407513,main-sequence,G,0.778,5.52,0.63,Oct,
39,71.7909349,-74.25114781,main-sequence,F,0.475,2.64,7.87,Cet,
43,116.5147432,-2.67606304,giants,K,1.032,0.51,77.95,Cas,HR 9079
47,316.4370391,-58.93852116,main-sequence,K,1.15,7.75,0.11,Phe,
50,319.4885813,-62.36490382,subgiants,G,0.616,2.62,8.12,Phe,
52,306.6175428,-39.74198382,main-sequence,A,0.196,2,13.2,Oct,
54,106.2367843,-43.24888197,main-sequence,K,1.03,7.09,0.18,Peg,Ross 675
55,310.6610196,-49.67575327,subgiants,G,0.551,3.34,4.06,Tuc,
57,309.3340231,-46.81635938,main-sequence,K,0.863,5.89,0.47,Tuc,
60,311.7330445,-51.78673481,subgiants,F,0.386,2.2,10.98,Tuc,
63,113.649307,-16.70244928,giants,A,-0.047,0,116.42,And,CG Andromedae
64,26.0447542,-78.73713848,giants,K,1.156,1.23,45.72,Scl,
66,308.2715326,-44.28074834,main-sequence,F,0.401,3.06,5.21,Tuc,
72,80.84202145,-71.43919365,main-sequence,G,0.671,4.27,1.84,Cet,
77,15.12801289,-78.53670523,main-sequence,A,0.022,1.85,17.19,Scl,
80,82.75021954,-70.64754535,main-sequence,G,0.566,4.1,2.21,Cet,
81,92.25451064,-64.75453242,main-sequence,G,0.642,5.37,0.66,Psc,
88,323.7941752,-66.22808377,giants,G,0.911,-0.57,189.4,Phe,Tau Phoenicis
90,334.59474,-72.008119,subgiants,F,0.5,2.38,9.62,Phe,
93,96.81827641,-60.37375018,main-sequence,G,0.619,4.19,2,Psc,
95,82.64478366,-70.79584776,main-sequence,F,0.513,2.85,6.29,Cet,
102,335.3444664,-72.33719722,giants,M,1.55,-0.16,330.46,Phe,
103,309.8106194,-48.08190405,main-sequence,F,0.538,3.1,5.05,Tuc,
104,6.29443926,-78.10605244,main-sequence,F,0.543,4.42,1.5,Scl,
106,114.7299098,-12.09034119,giants,G,0.97,-0.26,150.23,Cas,HR 9083
110,112.5441022,-22.24939383,main-sequence,K,0.787,5.14,0.89,And,
111,111.2952184,-27.45660632,main-sequence,K,1.308,8.37,0.08,And,
112,71.71631587,-74.59403211,main-sequence,K,1.384,8.24,0.1,Cet,Gliese 1293
114,110.4198418,-30.91935783,subgiants,G,0.654,2.63,8.25,Peg,
115,312.4055027,-53.27675874,subgiants,A,0.16,0.44,55.58,Tuc,
116,358.0984268,-77.35761095,main-sequence,F,0.435,3.14,4.7,Scl,
118,86.94433357,-68.74073425,main-sequence,F,0.606,4.77,1.12,Cet,
121,109.8257291,-33.17607643,giants,K,1.197,0.09,136.36,Peg,
122,306.5314402,-39.7125787,giants,K,1.254,0.66,86.72,Oct,Theta Octantis
129,100.76784,-55.34248257,main-sequence,F,0.559,3.29,4.48,Psc,
131,117.1311557,-0.29189557,main-sequence,A,0.2,2.66,7.15,Cas,
133,338.1170503,-73.40112341,subgiants,F,0.545,0.04,84.52,Phe,
135,96.95724175,-60.55663915,main-sequence,G,0.62,5.15,0.8,Psc,
136,108.6604666,-37.23675586,giants,K,1.153,0.34,104.31,Peg,
137,113.2176244,-19.56506633,giants,B,-0.042,-1.56,489.21,And,HR 9086
138,73.03229391,-74.35945607,subgiants,K,1.074,1.79,25.13,Cet,
140,309.8563255,-48.35076587,main-sequence,F,0.546,3.82,2.61,Tuc,
145,94.59308876,-63.13638157,giants,B,-0.128,-0.58,317.35,Psc,29 Piscium
150,345.8088091,-75.47154889,giants,K,1.06,1.63,28.84,Scl,Gliese 4388
151,334.7677377,-72.31698033,giants,F,0.411,2.14,11.69,Phe,
157,92.48945657,-65.1217007,subgiants,G,0.903,2.35,12.81,Psc,
158,343.7890029,-75.03845182,giants,K,0.999,1.18,40.68,Scl,
159,94.94495215,-62.92233076,main-sequence,A,0.292,2.96,5.44,Psc,
163,11.78505853,-78.63279573,main-sequence,A,0.107,2.39,9.39,Scl,
166,316.2887313,-59.31518818,main-sequence,G,0.66,3.76,2.95,Phe,
