HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
89396,3.99353246,-5.0590516,,Sagittarius,F,5,0.434,4.37,1.51,7.99,6363,1.155,1.27
89366,4.37108006,-4.74966539,,Sagittarius,B,2,-0.017,0.15,91.25,7.16,10831,3.165,2.82
89614,5.5153157,-4.91647259,,Sagittarius,G,5,0.56,5.01,0.88,9.49,5867,1.147,1.061
89954,6.36540845,-5.47234739,,Sagittarius,A,5,0.249,0.59,48.29,6.91,8017,3.051,1.937
89673,5.95869603,-4.87302523,,Sagittarius,G,5,0.551,4.4,1.54,9.41,5947,1.044,1.09
86572,355.1660457,-1.94927309,,Scorpius,A,5,0.149,1.1,30.55,7.51,8535,3.762,2.13
85839,353.9813247,-0.47193727,HR 6522,Scorpius,F,4,0.36,0.76,41.23,6.16,6880,4.827,1.49
86001,354.7490286,-0.52429259,,Scorpius,G,5,0.56,3.63,3.14,8.96,6062,1.244,1.13
86752,355.3869748,-2.32157852,,Scorpius,B,3,0.006,0.9,43.15,7.71,11681,2.969,3.09
86892,356.225251,-2.21598863,,Scorpius,F,5,0.512,4.04,2.09,9.47,6625,1.295,1.39
86953,357.092499,-1.89322072,,Scorpius,G,5,0.633,4.35,1.67,9.38,5891,1.108,1.07
86650,356.5684535,-1.26826474,,Scorpius,F,5,0.4,1.73,17.1,7.85,6872,3.668,1.49
85999,355.994073,0.28457624,,Scorpius,F,5,0.52,4.73,1.12,9.15,6085,1.045,1.14
85422,354.8446975,1.3647301,,Scorpius,F,5,0.459,3.79,2.76,8.38,6474.5,1.32,1.32
85797,356.2337246,1.1349056,,Scorpius,G,5,0.56,4.65,1.22,9.55,6582,1.102,1.37
86244,356.3117931,-0.22244328,,Scorpius,G,5,0.6,4.85,1.03,9.31,5844,1.232,1.05
86285,357.4353101,0.38719282,,Scorpius,G,5,0.582,2.98,5.78,8.3,6084,2.298,1.14
86408,357.6863038,0.15812992,,Scorpius,G,5,0.68,4.62,1.34,9.51,5618,1.203,0.99
87144,357.1009031,-2.42398912,,Scorpius,A,5,0.135,2.33,9.79,7.36,9051,1.68,2.29
86963,357.3658058,-1.761072,Gliese 2130 B,Scorpius,M,5,1.439,12.47,0,11.45,3340,0.462,0.46
